"word","phonetic","definition"
"ああ","ああ","Ah!, Oh!｜中文：啊、哦｜例句：ああ、きれいな花です。"
"会う","あう","to meet, to see｜中文：见面、相会｜例句：友達と公園で会います。"
"青","あお","blue｜中文：蓝色｜例句：青のペンを買いました。"
"青い","あおい","blue｜中文：蓝色的｜例句：空がとても青いです。"
"赤","あか","red｜中文：红色｜例句：赤のりんごが甘い。"
"赤い","あかい","red｜中文：红色的｜例句：りんごは赤いです。"
"明るい","あかるい","bright (in reference to personality or weather); cheerful｜中文：明亮、开朗｜例句：この部屋は明るいです。"
"秋","あき","fall (season)｜中文：秋天｜例句：秋に紅葉を見に行きます。"
"開く","あく","to open, to become open｜中文：（自动）开｜例句：ドアが自然に開く。"
"開ける","あける","to open (v.t.)｜中文：（他动）打开｜例句：窓を開けてください。"
"上げる","あげる","to raise, to lift｜中文：举起、抬高｜例句：手を上げてください。"
"朝","あさ","morning｜中文：早上｜例句：朝六時に起きます。"
"朝御飯","あさごはん","breakfast｜中文：早饭｜例句：毎日パンを朝御飯に食べます。"
"明後日","あさって","day after tomorrow｜中文：后天｜例句：明後日映画を見に行く。"
"足; 脚","あし","foot; leg｜中文：脚、腿｜例句：足が痛いです。"
"明日","あした","tomorrow｜中文：明天｜例句：明日学校へ行きます。"
"あそこ","あそこ","there, over there, that place｜中文：那边（远）｜例句：あそこに猫がいます。"
"遊ぶ","あそぶ","to play; to spend time pleasantly; to hang out｜中文：玩耍、游玩｜例句：公園で友達と遊びます。"
"暖かい","あたたかい","warm｜中文：温暖（天气/物品）｜例句：春は暖かいです。"
"頭","あたま","head｜中文：头｜例句：頭が痛いです。"
"新しい","あたらしい","new｜中文：新的｜例句：新しい鞄を買いました。"
"あちら","あちら","this way (polite)｜中文：那边（礼貌远指）｜例句：あちらへどうぞ。"
"暑い","あつい","hot (in reference to weather), warm｜中文：炎热（天气）｜例句：夏はとても暑い。"
"熱い","あつい","hot (objects)｜中文：烫手（物体）｜例句：お湯が熱いので気をつけて。"
"厚い","あつい","kind, warm(hearted), thick, deep｜中文：厚的、厚道｜例句：厚い本を読んでいます。"
"あっち","あっち","over there｜中文：那边（口语）｜例句：あっちに駅がある。"
"後","あと","afterwards (later); in the future; the rest; since then｜中文：之后、以后｜例句：ご飯の後散歩します。"
"あなた","あなた","you｜中文：你｜例句：あなたは学生ですか。"
"兄","あに","(my) older brother (humble)｜中文：（自谦）我哥哥｜例句：兄は会社員です。"
"姉","あね","(my) older sister (humble)｜中文：（自谦）我姐姐｜例句：姉は医者です。"
"アパート","アパート","apartment (abbr.)｜中文：公寓｜例句：アパートに住んでいます。"
