word,phonetic,definition
N に関して,N2,关于。例：環境問題に関して話し合う。
N に応じて,N2,根据；按照。例：能力に応じて仕事を分ける。
N に加えて,N2,加上。例：雨に加えて風も強い。
N に基づいて,N2,基于。例：データに基づいて判断する。
N に沿って,N2,沿着；按照。例：計画に沿って進める。
N に伴って,N2,伴随。例：成長に伴って変化する。
N に反して,N2,违反；与……相反。例：予想に反して成功した。
N にかかわらず,N2,不论。例：年齢にかかわらず参加できる。
N を問わず,N2,不问；不限。例：経験を問わず応募できます。
N を通じて,N2,通过；整个期间。例：一年を通じて暖かい。
N をめぐって,N2,围绕。例：方針をめぐって議論する。
N をきっかけに,N2,以……为契机。例：留学をきっかけに変わった。
V つつある,N2,正在逐渐。例：状況は改善しつつある。
V つつ,N2,一边；虽然。例：悪いと知りつつ続けた。
V かねる,N2,难以。例：その意見には賛成しかねます。
V かねない,N2,很可能发生坏结果。例：事故になりかねない。
V ざるを得ない,N2,不得不。例：中止せざるを得ない。
V ないことには,N2,如果不……就不。例：やってみないことには分からない。
V ものなら,N2,如果能……的话。例：戻れるものなら戻りたい。
V 以上は,N2,既然。例：約束した以上は守るべきだ。
普通形 からには,N2,既然。例：やるからには最後までやる。
N だけに,N2,正因为；不愧是。例：期待していただけに残念だ。
N どころか,N2,别说……反而。例：休むどころか徹夜した。
N どころではない,N2,不是……的时候。例：遊ぶどころではない。
N にすぎない,N2,只不过。例：これは一例にすぎない。
